,name,score,people,director,author,type,eare,year,中国大陆,中国台湾,中国香港,eare_lu,eare_dalu
37,一起同过窗 第一季,9.0,71116.0, 毕鑫业, 武雨泽 / 徐晓璐 / 庞瀚辰, 剧情, 中国大陆,2016.0,1,0,0,,大陆
38,雍正王朝,9.2,51646.0, 胡玫, 唐国强 / 焦晃 / 王绘春, 剧情 / 历史, 中国大陆,1999.0,1,0,0,,大陆
39,汉武大帝,9.2,39593.0, 胡玫, 陈宝国 / 焦晃 / 归亚蕾, 剧情 / 历史 / 古装, 中国大陆,2005.0,1,0,0,,大陆
40,暗算,9.0,31367.0, 柳云龙, 柳云龙 / 高明 / 宋春丽, 剧情, 中国大陆,2006.0,1,0,0,,大陆
41,人间正道是沧桑,9.1,35267.0, 张黎, 孙红雷 / 黄志忠 / 吕中, 古装, 中国大陆,2009.0,1,0,0,,大陆
42,上海滩 上海灘,9.1,23525.0, 招振强, 周润发 / 赵雅芝 / 吕良伟, 剧情 / 爱情, 中国香港,1980.0,0,0,1,,不是大陆
43,难兄难弟 難兄難弟,9.0,18570.0, 钟澍佳, 吴镇宇 / 罗嘉良 / 张可颐, 剧情 / 喜剧, 中国香港,1997.0,0,0,1,,不是大陆
44,大染坊,9.1,24837.0, 王文杰, 侯勇 / 罗刚 / 萨日娜, 剧情, 中国大陆,2003.0,1,0,0,,大陆
45,生死线,8.7,17866.0, 孔笙, 张译 / 廖凡 / 李晨, 剧情 / 战争, 中国大陆,2009.0,1,0,0,,大陆
46,最好的我们,8.9,238575.0, 刘畅, 刘昊然 / 谭松韵 / 王栎鑫, 剧情 / 爱情, 中国大陆,2016.0,1,0,0,,大陆
47,天龙八部 天龍八部,8.9,113598.0, 李添胜, 黄日华 / 陈浩民 / 樊少皇, 剧情 / 武侠 / 古装, 中国香港,1997.0,0,0,1,,不是大陆
48,金枝欲孽,8.9,102184.0, 戚其义, 邓萃雯 / 黎姿 / 张可颐, 剧情 / 古装, 中国香港,2004.0,0,0,1,,不是大陆
49,白鹿原,8.8,87266.0, 刘进, 张嘉益 / 秦海璐 / 何冰, 剧情 / 历史, 中国大陆,2017.0,1,0,0,,大陆
50,北平无战事,8.9,69631.0, 孔笙 / 李雪, 刘烨 / 陈宝国 / 焦晃, 剧情 / 战争, 中国大陆,2014.0,1,0,0,,大陆
51,创世纪1：地产风云 創世紀1：地產風云,8.9,33766.0, 戚其义, 罗嘉良 / 陈锦鸿 / 郭晋安, 剧情, 中国香港,1999.0,0,0,1,,不是大陆
52,似水年华,8.8,24779.0, 黄磊 / 扈强, 黄磊 / 刘若英 / 李心洁, 剧情 / 爱情, 中国大陆,2003.0,1,0,0,,大陆
53,舞乐传奇,8.8,34187.0, 于荣光, 秋瓷炫 / 林更新 / 高一玮, 剧情 / 历史, 中国大陆,2013.0,1,0,0,,大陆
54,十七岁不哭,8.8,17608.0, 王静, 郝蕾 / 牛萌萌 / 李晨, 剧情, 中国大陆,1997.0,1,0,0,,大陆
55,恶作剧之吻 惡作劇之吻,8.9,130020.0, 瞿友宁, 郑元畅 / 林依晨 / 赵咏华, 喜剧 / 爱情, 中国台湾,2005.0,0,1,0,,不是大陆
56,鹿鼎记 鹿鼎記,8.8,101809.0, 李添胜, 陈小春 / 马浚伟 / 刘玉翠, 剧情 / 喜剧 / 古装, 中国香港,1998.0,0,0,1,,不是大陆
57,风筝,8.8,61399.0, 柳云龙, 柳云龙 / 罗海琼 / 李小冉, 剧情 / 悬疑, 中国大陆,2017.0,1,0,0,,大陆
58,血色浪漫,8.8,50615.0, 滕文骥, 刘烨 / 孙俪 / 连奕名, 爱情, 中国大陆,2004.0,1,0,0,,大陆
59,射雕英雄传 射鵰英雄傳,8.8,41732.0, 李添胜, 张智霖 / 朱茵 / 罗嘉良, 剧情 / 武侠 / 古装, 中国香港,1994.0,0,0,1,,不是大陆
60,编辑部的故事,8.9,33795.0, 赵宝刚 / 金炎, 葛优 / 张瞳 / 侯耀华, 喜剧, 中国大陆,1992.0,1,0,0,,大陆
61,我和僵尸有个约会1 我和殭屍有個約會I,8.8,22091.0, 冼志伟, 尹天照 / 杨恭如 / 万绮雯, 爱情 / 悬疑, 中国香港,1998.0,0,0,1,,不是大陆
62,请你原谅我,8.7,12088.0, 刘惠宁, 吴秀波 / 海清 / 董洁, 剧情 / 爱情 / 家庭, 中国大陆,2011.0,1,0,0,,大陆
63,栋笃神探 棟篤神探,8.8,20434.0, 徐正康, 黄子华 / 蔡少芬 / 魏骏杰, 喜剧 / 犯罪, 中国香港,2004.0,0,0,1,,不是大陆
64,巾帼枭雄 巾幗梟雄,8.7,27100.0, 李添胜, 黎耀祥 / 邓萃雯 / 商天娥, 剧情, 中国香港,2009.0,0,0,1,,不是大陆
65,刑事侦缉档案 刑事偵緝檔案,8.7,29233.0, 黄伟声 / 黄伟森 / 唐凤珍 / 陈维冠 / 潘嘉德, 陶大宇 / 郭可盈 / 张延, 悬疑, 中国香港,1995.0,0,0,1,,不是大陆
66,仙剑奇侠传,8.9,178245.0, 吴锦源 / 梁胜权 / 麦贯之 / 于建福, 胡歌 / 刘亦菲 / 安以轩, 爱情 / 奇幻 / 武侠 / 古装, 中国大陆,2005.0,1,0,0,,大陆
67,神探狄仁杰,8.9,39133.0, 钱雁秋, 梁冠华 / 吕中 / 张子健, 剧情 / 悬疑 / 古装, 中国大陆,2004.0,1,0,0,,大陆
68,恰同学少年,8.8,29105.0, 龚若飞 / 嘉娜·沙哈提, 谷智鑫 / 钱枫 / 徐亮, 剧情 / 传记 / 历史, 中国大陆,2007.0,1,0,0,,大陆
69,鉴证实录 鑑證實錄,8.6,43418.0, 潘嘉德, 陈慧珊 / 林保怡 / 李珊珊, 爱情 / 犯罪 / 悬疑, 中国香港,1997.0,0,0,1,,不是大陆
70,炊事班的故事,8.8,41686.0, 尚敬, 洪剑涛 / 周小斌 / 毛孩, 喜剧, 中国大陆,2002.0,1,0,0,,大陆
71,天地男儿 天地男兒,8.6,19529.0, 戚其义, 郑少秋 / 罗嘉良 / 张智霖, 剧情, 中国香港,1996.0,0,0,1,,不是大陆
72,少年天子,8.6,17313.0, 何培 / 刘恒, 邓超 / 潘虹 / 郝蕾, 剧情 / 历史, 中国大陆,2003.0,1,0,0,,大陆
73,生存之民工,9.5,10752.0, 管虎 / 康宁, 陶泽如 / 丁勇岱 / 马少骅, 剧情, 中国大陆,2005.0,1,0,0,,大陆
74,福贵,9.5,16167.0, 朱正 / 袁进, 陈创 / 刘敏涛 / 李丁, 剧情 / 传记 / 家庭, 中国大陆,2005.0,1,0,0,,大陆
